atilomaśa,,
atiloma,,
atilohita,,
ativakra,,
ativartula,,
ativāhika,,
ativāhya,,
ativikaṭa,,
atividdha,,
ativipina,,
ativiśrabdha,,
ativiṣa,,
ativṛṃhita,,
ativṛddha,,
ativṛṣṭihata,,
ativela,,
ativaiśasa,,
ativyasta,,
ativyādhya,,
ativyāpta,,
atiśakta,,
atiśakra,,
atiśayana,ī,
atiśaya,,
atiśayita,,
atiśasta,,
atiśastra,,
atiśākvara,,
atiśāta,,
atiśiṣṭa,,
atiśukra,,
atiśukla,,
atiśobhana,,
atiśreṣṭha,,
atiślakṣṇa,,
atiśva,ī,
atiṣakta,,
atiṣita,,
atisaṃtapta,,
atisaṃdheya,,
atisaṃskṛta,,
atisandhita,,
atisamartha,,
atisamīpa,,
atisarva,,
atisāṃvatsara,,
atisujana,,
atisundara,,
atisulabha,,
atisuhita,,
atisṛjya,,
atisauparṇa,,
atisaurabha,,
atisthira,,
atisthūla,,
atisnigdha,,
atisphira,,
atisrāvita,,
atisruta,,
atisvastha,,
atisvārya,,
atisvinna,,
atihata,,
atihita,,
atihrasva,,
atīkṣṇa,,
atītanauka,,
atīta,,
atīndriya,,
atīrṇa,,
atīvra,,
atuṅga,,
atunda,,
atura,,
atula,,
atulya,,
atuṣa,,
atūrta,,
atṛdila,,
atṛpa,,
atṛpta,,
atṛṣita,,
atṛṣya,,
atejaska,,
atejomaya,,
ataijasa,,
atailapūra,,
atonya,,
atoṣaṇīya,,
attavya,,
atyakṣara,,
atyagnisomārka,,
atyagra,,
atyaṅkuśa,,
atyaṅgula,,
atyadbhuta,,
atyanila,,
atyantakopana,,
atyantagata,,
atyantaga,,
atyantasukumāra,,
atyanta,,
atyantika,,
atyantīna,,
atyabhisṛta,,
atyamarṣaṇa,,
atyamla,,
atyartha,,
atyalpa,,
atyasama,,
atyasta,,
atyahna,,
atya,,
atyākhaṇḍalavikrama,,
atyācāra,,
atyāditya,,
atyānanda,,
atyāśita,,
atyāsanna,,
atyāhita,,
atyugra,,
atyutkaṭa,,
atyudāra,,
atyupadha,,
atyulbaṇa,,
atyulvaṇa,,
atyuṣṇa,,
atyūrdhvākṣa,,
atratya,,
atrapa,,
atra,,
atrāsita,,
atrijāta,,
atvakka,,
atvara,,
atsaruka,,
atharya,,
atharvāṅgirasa,,
adaka,,
adakṣa,,
adakṣiṇa,,
adakṣiṇīya,,
adakṣiṇya,,
adagdha,,
adaṇḍanīya,,
adaṇḍavāsika,,
adaṇḍa,,
adaṇḍya,,
adatka,,
adatta,,
adanīya,,
adantaka,,
adantajāta,,
adanta,,
adantya,,
adabdha,,
adabha,,
adabhra,,
adambha,,
adamya,,
adaya,,
adara,,
adarśana,,
adarśanīya,,
adala,,
adaśamāsya,,
adasīya,ī,
adasta,,
ada,,
adāna,,
adānīya,,
adānta,,
adānya,,
