adhyardhaśatya,,
adhyardhaśāṇa,,
adhyardhaśāṇya,,
adhyardhaśātamāna,,
adhyardhaśūrpa,,
adhyardhasahasra,,
adhyardhasāhasra,,
adhyardhasuvarṇa,,
adhyardhasauvarṇika,,
adhyavasāyayukta,,
adhyavasāyita,,
adhyavasāyin,ī,
adhyavasita,,
adhyavaseya,,
adhyavahanana,,
adhyasta,,
adhyājya,,
adhyātma,,
adhyātmika,ī,
adhyāpaka,,
adhyāpita,,
adhyāpya,,
adhyāyin,ī,
adhyārūḍha,,
adhyāropita,,
adhyāsita,,
adhyāsin,ī,
adhyāsīna,,
adhyāharaṇīya,,
adhyāhartavya,,
adhyāhṛta,,
adhyuṣita,,
adhyuṣṭa,,
adhyūḍha,,
adhyetavya,,
adhyeya,,
adhrija,,
adhriyamāṇa,,
adhvagāmin,ī,
adhvarakalpa,,
adhvaraga,,
adhvarastha,,
adhvara,,
adhvartavya,,
adhvaśīla,,
adhvāpanna,,
anaṃśa,,
anaṃśin,ī,
anaka,,
anakāmamāra,,
anakṣara,,
anakṣika,,
anakṣita,,
anagnidagdha,,
anaṅkuśa,,
anaṅgamejaya,,
anaṅguṣṭha,,
anaccha,,
anañjana,,
anaḍutka,,
anaḍudarha,,
anata,,
anatikramaṇīya,,
anatidagdha,,
anatidṛśna,,
anatidṛśya,,
anatidbhuta,,
anatipraśnya,,
anatimānin,ī,
anatirikta,,
anativyādhya,,
anatisṛṣṭa,,
anatyaya,,
anatyudya,,
anadhika,,
anadhikārin,ī,
anadhikṛta,,
anadhigatamanoratha,,
anadhigataśāstra,,
anadhigata,,
anadhigamanīya,,
anadhigamya,,
anadhiṣṭhita,,
anadhītya,,
anadhīnaka,,
anadhīna,,
anadhīyāna,,
anadhīṣṭa,,
anadhyakṣa,,
anadhyavasita,,
ananaṅgamejaya,,
ananujñāta,,
ananudhyāyin,ī,
ananubhāvaka,,
ananubhūta,,
ananumata,,
ananuyāja,,
ananuyoga,,
ananuvākya,,
ananuṣaṅgin,ī,
ananūkta,,
ananūyāja,,
ananṛta,,
anantakara,,
anantaka,,
anantaga,,
anantaguṇa,,
anantatāna,,
anantapāra,,
anantamāyin,ī,
anantarita,,
anantarīya,,
anantarūpa,,
anantarhita,,
anantaśuṣma,,
anantya,,
ananda,,
anandha,,
ananyakārya,,
ananyagatika,,
ananyagāmin,ī,
ananyacitta,,
ananyacodita,,
ananyadeva,,
ananyaniṣpādya,,
ananyaparāyaṇa,,
ananyapratikriya,,
ananyabhava,,
ananyabhāva,,
ananyamanaska,,
ananyamānasa,,
ananyavandin,ī,
ananyaviṣaya,,
ananyasādhāraṇa,,
ananyahṛta,,
ananyādṛśa,ī,
ananyārtha,,
ananyāśrita,,
ananvāgata,,
ananvābhakta,,
ananvita,,
anapakārin,ī,
anapakṛta,,
anapakramin,ī,
anapakṣepya,,
anapacāyyamāna,,
anapacyuta,,
anapatyaka,,
anapatrapa,,
anapadoṣya,,
anapara,,
anaparāddha,,
anaparādha,,
anaparādhin,ī,
anaparuddha,,
anapalāṣuka,,
anapavācana,,
anapavṛjya,,
anapasara,,
anapasphura,,
anapa,,
anapāyadṛṣṭa,,
anapāya,,
anapāyin,ī,
anapāśraya,,
anapinaddha,,
anapūpīya,,
anapūpya,,
anapekṣamāṇa,,
anapekṣa,,
anapekṣita,,
anapekṣin,ī,
anapeta,,
anapoddhārya,,
anapta,,
anabhigata,,
anabhijita,,
anabhijña,,
anabhibhūta,,
anabhimata,,
anabhimānuka,,
anabhimlātavarṇa,,
